district,population,deviation,%_deviation,white,%_white,black,%_black,am_indian,%_am_indian,asian,%_asian,hawaiian,%_hawaiian,other,%_other,2+_races,%_2+_races,nh_wht,%_nh_wht,hispanic_origin,%_hispanic_origin
D01,167288,"-8,460",-4.81%,146237,87.42%,4478,2.68%,361,0.22%,2261,1.35%,30,0.02%,3535,2.11%,10386,6.21%,144311,86.27%,8198,4.90%
D02,167628,"-8,120",-4.62%,127424,76.02%,4842,2.89%,571,0.34%,4568,2.73%,84,0.05%,15022,8.96%,15117,9.02%,120573,71.93%,32390,19.32%
D03,168062,"-7,686",-4.37%,67092,39.92%,31504,18.75%,1478,0.88%,4031,2.40%,151,0.09%,39488,23.50%,24318,14.47%,52778,31.40%,77314,46%
D04,167192,"-8,556",-4.87%,138551,82.87%,6148,3.68%,333,0.20%,5513,3.30%,60,0.04%,5584,3.34%,11003,6.58%,135107,80.81%,14438,8.64%
D05,167716,"-8,032",-4.57%,135282,80.66%,4772,2.85%,481,0.29%,10114,6.03%,48,0.03%,4336,2.59%,12683,7.56%,132584,79.05%,11701,6.98%
D06,167231,"-8,517",-4.85%,141575,84.66%,5500,3.29%,371,0.22%,4000,2.39%,59,0.04%,4789,2.86%,10937,6.54%,138752,82.97%,11717,7.01%
D07,181709,"5,961",3.39%,157271,86.55%,2899,1.60%,400,0.22%,2663,1.47%,55,0.03%,6336,3.49%,12085,6.65%,152991,84.20%,15631,8.60%
D08,166976,"-8,772",-4.99%,109913,65.83%,11754,7.04%,417,0.25%,21834,13.08%,22,0.01%,9270,5.55%,13766,8.24%,106514,63.79%,17986,10.77%
D09,167438,"-8,310",-4.73%,99497,59.42%,19187,11.46%,740,0.44%,11596,6.93%,74,0.04%,18957,11.32%,17387,10.38%,92795,55.42%,36518,21.81%
D10,177088,"1,340",0.76%,127289,71.88%,8421,4.76%,660,0.37%,9725,5.49%,52,0.03%,12378,6.99%,18563,10.48%,121933,68.85%,27485,15.52%
D11,175513,-235,-0.13%,101506,57.83%,12769,7.28%,476,0.27%,29168,16.62%,72,0.04%,15679,8.93%,15843,9.03%,94919,54.08%,28547,16.26%
D12,178130,"2,382",1.36%,130902,73.49%,4275,2.40%,389,0.22%,17760,9.97%,48,0.03%,8995,5.05%,15761,8.85%,128542,72.16%,12780,7.17%
D13,175069,-679,-0.39%,120428,68.79%,6448,3.68%,524,0.30%,16840,9.62%,41,0.02%,14252,8.14%,16536,9.45%,117664,67.21%,16747,9.57%
D14,178044,"2,296",1.31%,146980,82.55%,3657,2.05%,370,0.21%,8745,4.91%,46,0.03%,5771,3.24%,12475,7.01%,145087,81.49%,9288,5.22%
D15,170258,"-5,490",-3.12%,120319,70.67%,7075,4.16%,449,0.26%,22574,13.26%,45,0.03%,8431,4.95%,11365,6.68%,117972,69.29%,15172,8.91%
D16,178462,"2,714",1.54%,131401,73.63%,6492,3.64%,257,0.14%,24656,13.82%,24,0.01%,3931,2.20%,11701,6.56%,129643,72.64%,8328,4.67%
D17,181664,"5,916",3.37%,127538,70.21%,5361,2.95%,266,0.15%,31242,17.20%,52,0.03%,3811,2.10%,13394,7.37%,125199,68.92%,10288,5.66%
D18,180666,"4,918",2.80%,125676,69.56%,19903,11.02%,454,0.25%,10484,5.80%,43,0.02%,9715,5.38%,14391,7.97%,122971,68.07%,19978,11.06%
D19,167027,"-8,721",-4.96%,64199,38.44%,9197,5.51%,1724,1.03%,4237,2.54%,80,0.05%,60844,36.43%,26746,16.01%,53720,32.16%,99043,59.30%
D20,181376,"5,628",3.20%,149993,82.70%,4231,2.33%,249,0.14%,10511,5.80%,53,0.03%,5505,3.04%,10834,5.97%,147444,81.29%,12263,6.76%
D21,180195,"4,447",2.53%,162361,90.10%,1564,0.87%,263,0.15%,4207,2.33%,48,0.03%,2937,1.63%,8815,4.89%,161061,89.38%,6375,3.54%
D22,169718,"-6,030",-3.43%,136425,80.38%,5766,3.40%,341,0.20%,4232,2.49%,58,0.03%,9501,5.60%,13395,7.89%,133244,78.51%,18141,10.69%
D23,183642,"7,894",4.49%,124668,67.89%,12292,6.69%,352,0.19%,25775,14.04%,40,0.02%,6693,3.64%,13822,7.53%,122730,66.83%,11485,6.25%
D24,181758,"6,010",3.42%,106833,58.78%,13975,7.69%,1556,0.86%,9791,5.39%,60,0.03%,30712,16.90%,18831,10.36%,101809,56.01%,49436,27.20%
D25,183880,"8,132",4.63%,108345,58.92%,7562,4.11%,921,0.50%,13574,7.38%,107,0.06%,30371,16.52%,23000,12.51%,101704,55.31%,51381,27.94%
D26,184151,"8,403",4.78%,84721,46.01%,18784,10.20%,1166,0.63%,22893,12.43%,69,0.04%,33016,17.93%,23502,12.76%,78052,42.38%,50497,27.42%
D27,180853,"5,105",2.90%,120674,66.72%,13562,7.50%,344,0.19%,21647,11.97%,67,0.04%,8359,4.62%,16200,8.96%,117983,65.24%,15342,8.48%
D28,183947,"8,199",4.67%,120273,65.38%,8524,4.63%,411,0.22%,32230,17.52%,104,0.06%,8233,4.48%,14172,7.70%,116717,63.45%,16588,9.02%
D29,181874,"6,126",3.49%,41895,23.04%,77382,42.55%,1074,0.59%,11691,6.43%,79,0.04%,25905,14.24%,23848,13.11%,36896,20.29%,47928,26.35%
D30,184255,"8,507",4.84%,88739,48.16%,35969,19.52%,681,0.37%,26456,14.36%,83,0.05%,14338,7.78%,17989,9.76%,85477,46.39%,24771,13.44%
D31,172503,"-3,245",-1.85%,151942,88.08%,3407,1.98%,224,0.13%,5592,3.24%,29,0.02%,2707,1.57%,8602,4.99%,150842,87.44%,4906,2.84%
D32,172439,"-3,309",-1.88%,113166,65.63%,9296,5.39%,344,0.20%,34426,19.96%,35,0.02%,4809,2.79%,10363,6.01%,111751,64.81%,8062,4.68%
D33,169378,"-6,370",-3.62%,116573,68.82%,22419,13.24%,333,0.20%,12925,7.63%,36,0.02%,5304,3.13%,11788,6.96%,115019,67.91%,9379,5.54%
D34,172727,"-3,021",-1.72%,81173,46.99%,45159,26.14%,624,0.36%,4563,2.64%,40,0.02%,15102,8.74%,26066,15.09%,78926,45.69%,15926,9.22%
D35,181920,"6,172",3.51%,144892,79.65%,8956,4.92%,301,0.17%,12724,6.99%,41,0.02%,4218,2.32%,10788,5.93%,143034,78.62%,9216,5.07%
D36,181988,"6,240",3.55%,152213,83.64%,7655,4.21%,443,0.24%,2491,1.37%,50,0.03%,5149,2.83%,13987,7.69%,150220,82.54%,8204,4.51%
D37,172232,"-3,516",-2%,141555,82.19%,5856,3.40%,467,0.27%,3256,1.89%,41,0.02%,7147,4.15%,13910,8.08%,138850,80.62%,14267,8.28%
D38,167853,"-7,895",-4.49%,120550,71.82%,7129,4.25%,1497,0.89%,2222,1.32%,64,0.04%,16389,9.76%,20002,11.92%,116080,69.16%,26791,15.96%
D39,184504,"8,756",4.98%,165001,89.43%,2889,1.57%,927,0.50%,2424,1.31%,38,0.02%,2963,1.61%,10262,5.56%,163696,88.72%,4638,2.51%
D40,175563,-185,-0.11%,144965,82.57%,6970,3.97%,779,0.44%,2293,1.31%,73,0.04%,6249,3.56%,14234,8.11%,143307,81.63%,8540,4.86%